14:03:15,3,FIRE_DETECTED,High,NONE
14:03:20,1,FIRE_DETECTED,Low,NONE
14:05:45,5,DRONE_REQUEST,Moderate,NONE
14:06:00,7,FIRE_DETECTED,High,NONE
14:08:30,2,FIRE_DETECTED,Low,NONE
14:10:00,4,FIRE_DETECTED,Moderate,NONE
14:12:15,6,FIRE_DETECTED,High,NONE
14:13:00,9,FIRE_DETECTED,Low,NONE
14:13:45,10,DRONE_REQUEST,High,NONE
14:14:20,8,FIRE_DETECTED,Moderate,NONE
14:15:00,12,FIRE_DETECTED,High,NONE
14:15:30,11,FIRE_DETECTED,Low,NONE
14:16:10,13,DRONE_REQUEST,Moderate,NONE
14:17:00,15,FIRE_DETECTED,High,NONE
14:17:45,14,FIRE_DETECTED,Low,NONE
14:18:30,2,FIRE_DETECTED,High,NONE
14:19:00,16,DRONE_REQUEST,Moderate,NONE
14:19:45,17,FIRE_DETECTED,High,NONE
14:20:10,1,FIRE_DETECTED,Low,NONE
14:20:55,18,FIRE_DETECTED,Moderate,NONE
14:21:30,5,DRONE_REQUEST,High,NONE
14:22:00,19,FIRE_DETECTED,Low,NONE
14:22:45,6,FIRE_DETECTED,High,NONE
14:23:20,20,FIRE_DETECTED,Moderate,NONE
14:24:00,3,DRONE_REQUEST,High,NONE
14:24:40,9,FIRE_DETECTED,Low,NONE
14:25:15,11,FIRE_DETECTED,High,NONE
14:25:50,4,FIRE_DETECTED,Moderate,NONE
14:26:30,13,DRONE_REQUEST,High,NONE
14:27:10,7,FIRE_DETECTED,Low,NONE
14:27:50,15,FIRE_DETECTED,High,NONE
14:28:25,17,FIRE_DETECTED,Moderate,NONE
14:29:00,2,DRONE_REQUEST,High,NONE
14:29:40,10,FIRE_DETECTED,Low,NONE
14:30:15,12,FIRE_DETECTED,High,NONE
14:30:55,14,FIRE_DETECTED,Moderate,NONE
14:31:30,8,DRONE_REQUEST,High,NONE
14:32:10,16,FIRE_DETECTED,Low,NONE
14:32:45,18,FIRE_DETECTED,High,NONE
14:33:20,20,FIRE_DETECTED,Moderate,NONE
14:34:00,1,DRONE_REQUEST,Low,NONE
14:34:40,19,FIRE_DETECTED,High,NONE
14:35:20,3,FIRE_DETECTED,Moderate,NONE
14:36:00,5,FIRE_DETECTED,High,NONE
14:36:40,6,DRONE_REQUEST,Low,NONE
14:37:20,9,FIRE_DETECTED,High,NONE
14:38:00,11,FIRE_DETECTED,Moderate,NONE
14:38:40,13,FIRE_DETECTED,High,NONE
14:39:20,7,DRONE_REQUEST,Low,NONE
14:40:00,15,FIRE_DETECTED,High,NONE
